timestamp,thread_id,candidate_id,node,agent,event_type,status,latency_ms,tool_name,revision_count,retry_count,error_type,error_message
2026-08-05T17:22:01.279852+00:00,C-900,C-900,input_guardrail,Input Guardrail Agent,node_execution,success,1.46,,0,0,,
2026-08-05T17:23:19.717989+00:00,C-901,C-901,input_guardrail,Input Guardrail Agent,node_execution,success,0.08,,0,0,,
2026-08-05T17:23:19.721395+00:00,C-901,C-901,employment_check,Employment Status Agent,node_execution,success,0.0,,0,0,,
2026-08-05T17:23:34.584814+00:00,C-001,C-001,input_guardrail,Input Guardrail Agent,node_execution,success,0.11,,0,0,,
2026-08-05T17:23:34.587660+00:00,C-001,C-001,employment_check,Employment Status Agent,node_execution,success,0.0,,0,0,,
2026-08-05T17:23:35.128413+00:00,C-001,C-001,coordinator,Onboarding Coordinator Agent,tool_call,success,0.0,lookup_onboarding_requirements,0,0,,
2026-08-05T17:23:35.482849+00:00,C-001,C-001,onboarding_coordinator_agent,Onboarding Coordinator Agent,llm_call,success,354.0,,0,0,,
2026-08-05T17:23:35.483365+00:00,C-001,C-001,coordinator,Onboarding Coordinator Agent,node_execution,success,894.02,,0,0,,
2026-08-05T17:23:35.737745+00:00,C-001,C-001,resume_analysis_agent,Resume Analysis Agent,llm_call,success,253.06,,0,0,,
2026-08-05T17:23:35.738123+00:00,C-001,C-001,resume_analysis,Resume Analysis Agent,node_execution,success,253.5,,0,0,,
2026-08-05T17:23:35.921632+00:00,C-001,C-001,training_plan_agent,Training Plan Agent,llm_call,success,181.43,,0,0,,
2026-08-05T17:23:35.925548+00:00,C-001,C-001,training_plan,Training Plan Agent,node_execution,success,186.21,,0,0,,
2026-08-05T17:23:36.403589+00:00,C-001,C-001,contract_notification_agent,Contract Notification Agent,llm_call,success,476.77,,0,0,,
2026-08-05T17:23:36.406509+00:00,C-001,C-001,contract_notification,Contract Notification Agent,node_execution,success,479.72,,0,0,,
2026-08-05T17:23:36.687270+00:00,C-001,C-001,it_provisioning_agent,IT Provisioning Agent,llm_call,success,279.27,,0,0,,
2026-08-05T17:23:36.687717+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,tool_call,failure,0.0,create_it_workspace_request,0,1,ConnectionError,Simulated IT service timeout on first attempt.
2026-08-05T17:23:36.687982+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,node_execution,success,280.03,,0,0,,
2026-08-05T17:23:36.905977+00:00,C-001,C-001,it_provisioning_agent,IT Provisioning Agent,llm_call,success,216.45,,0,0,,
2026-08-05T17:23:36.907804+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,tool_call,success,1.35,create_it_workspace_request,0,1,,
2026-08-05T17:23:36.908098+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,node_execution,success,218.61,,0,1,,
2026-08-05T17:23:37.146881+00:00,C-001,C-001,reviewer_agent,Reviewer Agent,llm_call,success,237.22,,0,0,,
2026-08-05T17:23:37.147416+00:00,C-001,C-001,review,Reviewer Agent,node_execution,success,237.83,,0,1,,
2026-08-05T17:23:37.148943+00:00,C-001,C-001,prepare_revision,Revision Coordinator,node_execution,success,0.0,,0,1,,
2026-08-05T17:23:37.435399+00:00,C-001,C-001,training_plan_agent,Training Plan Agent,llm_call,success,283.66,,0,0,,
2026-08-05T17:23:37.438013+00:00,C-001,C-001,training_plan,Training Plan Agent,node_execution,success,287.24,,1,1,,
2026-08-05T17:23:37.729715+00:00,C-001,C-001,contract_notification_agent,Contract Notification Agent,llm_call,success,290.25,,0,0,,
2026-08-05T17:23:37.732399+00:00,C-001,C-001,contract_notification,Contract Notification Agent,node_execution,success,292.97,,1,1,,
2026-08-05T17:23:37.980445+00:00,C-001,C-001,it_provisioning_agent,IT Provisioning Agent,llm_call,success,246.62,,0,0,,
2026-08-05T17:23:37.982014+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,tool_call,success,1.11,create_it_workspace_request,0,1,,
2026-08-05T17:23:37.982298+00:00,C-001,C-001,it_provisioning,IT Provisioning Agent,node_execution,success,248.51,,1,1,,
2026-08-05T17:23:38.191063+00:00,C-001,C-001,reviewer_agent,Reviewer Agent,llm_call,success,207.21,,0,0,,
2026-08-05T17:23:38.191556+00:00,C-001,C-001,review,Reviewer Agent,node_execution,success,207.77,,1,1,,
2026-08-05T17:28:09.145888+00:00,C-001,C-001,human_approval,Human Approval Node,human_decision,approved,0.0,,0,0,,
2026-08-05T17:28:09.151538+00:00,C-001,C-001,output_guardrail,Output Guardrail Agent,node_execution,success,0.42,,1,1,,
2026-08-05T17:28:09.153772+00:00,C-001,C-001,finalize,Finalization Agent,node_execution,success,0.38,,1,1,,
